bin,pkg,abspath,functions,verified,binary_id
6tunnel,6tunnel-0.13-2-x86_64,/binary-datasets/archsrc/pkg/00001/6tunnel-0.13-2-x86_64/usr/bin/6tunnel,16,16,111755
a2jmidid,a2jmidid-9-4-x86_64,/binary-datasets/archsrc/pkg/00001/a2jmidid-9-4-x86_64/usr/bin/a2jmidid,84,84,118028
j2amidi_bridge,a2jmidid-9-4-x86_64,/binary-datasets/archsrc/pkg/00001/a2jmidid-9-4-x86_64/usr/bin/j2amidi_bridge,7,7,110303
a2jmidi_bridge,a2jmidid-9-4-x86_64,/binary-datasets/archsrc/pkg/00001/a2jmidid-9-4-x86_64/usr/bin/a2jmidi_bridge,5,5,19948
liba52.so.0.0.0,a52dec-0.8.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/a52dec-0.8.0-2-x86_64/usr/lib/liba52.so.0.0.0,,No source files,49355
extract_a52,a52dec-0.8.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/a52dec-0.8.0-2-x86_64/usr/bin/extract_a52,2,2,37026
a52dec,a52dec-0.8.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/a52dec-0.8.0-2-x86_64/usr/bin/a52dec,39,39,101211
aainfo,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00001/aalib-1.4rc5-18-x86_64/usr/bin/aainfo,1,1,108632
libaa.so.1.0.4,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00001/aalib-1.4rc5-18-x86_64/usr/lib/libaa.so.1.0.4,,No source files,120147
aafire,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00001/aalib-1.4rc5-18-x86_64/usr/bin/aafire,7,7,90735
aasavefont,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00001/aalib-1.4rc5-18-x86_64/usr/bin/aasavefont,1,1,10466
aatest,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00001/aalib-1.4rc5-18-x86_64/usr/bin/aatest,1,1,92548
aarch64-linux-gnu-gp-display-src,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-display-src,2815,2599,2659
aarch64-linux-gnu-gp-collect-app,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-collect-app,2822,2606,92943
aarch64-linux-gnu-gp-display-text,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-display-text,2817,2601,75584
aarch64-linux-gnu-addr2line,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-addr2line,2404,2190,110665
aarch64-linux-gnu-dwp,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-dwp,363,357,18762
aarch64-linux-gnu-elfedit,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-elfedit,56,56,19167
aarch64-linux-gnu-gprof,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gprof,2481,2267,45134
aarch64-linux-gnu-size,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-size,2412,2198,25368
aarch64-linux-gnu-c++filt,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-c++filt,2402,2188,102521
aarch64-linux-gnu-gprofng,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gprofng,2816,2600,122814
aarch64-linux-gnu-strings,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-strings,2413,2199,14144
aarch64-linux-gnu-gp-archive,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-archive,2815,2599,54674
aarch64-linux-gnu-gdb,aarch64-linux-gnu-gdb-14.2-2-x86_64,/binary-datasets/archsrc/pkg/00001/aarch64-linux-gnu-gdb-14.2-2-x86_64/usr/bin/aarch64-linux-gnu-gdb,4759,4343,61227
libabc.so,abc-0.0.0.20221019-1-x86_64,/binary-datasets/archsrc/pkg/00001/abc-0.0.0.20221019-1-x86_64/usr/lib/libabc.so,,No source files,77323
abc,abc-0.0.0.20221019-1-x86_64,/binary-datasets/archsrc/pkg/00001/abc-0.0.0.20221019-1-x86_64/usr/bin/abc,1,1,107757
abduco,abduco-0.6-7-x86_64,/binary-datasets/archsrc/pkg/00001/abduco-0.6-7-x86_64/usr/bin/abduco,,No source files,99591
libacl.so.1.1.2302,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00001/acl-2.3.2-1-x86_64/usr/lib/libacl.so.1.1.2302,,No source files,55426
chacl,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00001/acl-2.3.2-1-x86_64/usr/bin/chacl,6,6,37376
setfacl,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00001/acl-2.3.2-1-x86_64/usr/bin/setfacl,40,40,112359
getfacl,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00001/acl-2.3.2-1-x86_64/usr/bin/getfacl,22,22,123714
acme,acme-2023.03.05-1-x86_64,/binary-datasets/archsrc/pkg/00001/acme-2023.03.05-1-x86_64/usr/bin/acme,,No source files,126489
acpi,acpi-1.7-3-x86_64,/binary-datasets/archsrc/pkg/00001/acpi-1.7-3-x86_64/usr/bin/acpi,24,24,35021
acpixtract,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/acpixtract,,No source files,101626
iasl,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/iasl,,No source files,95295
acpisrc,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/acpisrc,,No source files,59951
acpidump,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/acpidump,,No source files,73012
acpihelp,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/acpihelp,,No source files,54294
acpibin,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/acpibin,,No source files,57456
acpiexec,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/acpiexec,,No source files,120696
acpiexamples,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpica-20240321-1-x86_64/usr/bin/acpiexamples,,No source files,52592
kacpimon,acpid-2.0.34-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpid-2.0.34-1-x86_64/usr/bin/kacpimon,40,40,80099
acpid,acpid-2.0.34-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpid-2.0.34-1-x86_64/usr/bin/acpid,90,89,115812
acpi_listen,acpid-2.0.34-1-x86_64,/binary-datasets/archsrc/pkg/00001/acpid-2.0.34-1-x86_64/usr/bin/acpi_listen,10,9,20956
adnslogres,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/adns-1.6.0-2-x86_64/usr/bin/adnslogres,9,9,52487
libadns.so.1.6,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/adns-1.6.0-2-x86_64/usr/lib/libadns.so.1.6,,No source files,45274
adnsheloex,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/adns-1.6.0-2-x86_64/usr/bin/adnsheloex,7,7,113351
adnsresfilter,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/adns-1.6.0-2-x86_64/usr/bin/adnsresfilter,23,23,33134
adnshost,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00001/adns-1.6.0-2-x86_64/usr/bin/adnshost,40,40,111343
aeolus,aeolus-0.10.4-2-x86_64,/binary-datasets/archsrc/pkg/00001/aeolus-0.10.4-2-x86_64/usr/bin/aeolus,,No source files,103197
aeolus_txt.so,aeolus-0.10.4-2-x86_64,/binary-datasets/archsrc/pkg/00001/aeolus-0.10.4-2-x86_64/usr/lib/aeolus_txt.so,,No source files,85295
aeolus_x11.so,aeolus-0.10.4-2-x86_64,/binary-datasets/archsrc/pkg/00001/aeolus-0.10.4-2-x86_64/usr/lib/aeolus_x11.so,,No source files,82687
aha,aha-0.5.1-3-x86_64,/binary-datasets/archsrc/pkg/00001/aha-0.5.1-3-x86_64/usr/bin/aha,11,11,96733
libAiksaurus-1.2.so.0.0.1,aiksaurus-1.2.1-9-x86_64,/binary-datasets/archsrc/pkg/00001/aiksaurus-1.2.1-9-x86_64/usr/lib/libAiksaurus-1.2.so.0.0.1,,No source files,46767
aiksaurus,aiksaurus-1.2.1-9-x86_64,/binary-datasets/archsrc/pkg/00001/aiksaurus-1.2.1-9-x86_64/usr/bin/aiksaurus,,No source files,60874
caiksaurus,aiksaurus-1.2.1-9-x86_64,/binary-datasets/archsrc/pkg/00001/aiksaurus-1.2.1-9-x86_64/usr/bin/caiksaurus,,No source files,51267
aj-snapshot,aj-snapshot-0.9.9-2-x86_64,/binary-datasets/archsrc/pkg/00001/aj-snapshot-0.9.9-2-x86_64/usr/bin/aj-snapshot,29,29,102839
alex,alex-3.2.7.4-2-x86_64,/binary-datasets/archsrc/pkg/00001/alex-3.2.7.4-2-x86_64/usr/bin/alex,,No source files,118783
aliki,aliki-0.3.0-3-x86_64,/binary-datasets/archsrc/pkg/00001/aliki-0.3.0-3-x86_64/usr/bin/aliki,,No source files,62725
aliki-rt,aliki-0.3.0-3-x86_64,/binary-datasets/archsrc/pkg/00001/aliki-0.3.0-3-x86_64/usr/bin/aliki-rt,,No source files,5675
libasound.so.2.0.0,alsa-lib-1.2.12-1-x86_64,/binary-datasets/archsrc/pkg/00001/alsa-lib-1.2.12-1-x86_64/usr/lib/libasound.so.2.0.0,,No source files,59134
aserver,alsa-lib-1.2.12-1-x86_64,/binary-datasets/archsrc/pkg/00001/alsa-lib-1.2.12-1-x86_64/usr/bin/aserver,29,29,121249
libatopology.so.2.0.0,alsa-lib-1.2.12-1-x86_64,/binary-datasets/archsrc/pkg/00001/alsa-lib-1.2.12-1-x86_64/usr/lib/libatopology.so.2.0.0,,No source files,125037
libaoss.so.0.0.0,alsa-oss-1.1.8-5-x86_64,/binary-datasets/archsrc/pkg/00001/alsa-oss-1.1.8-5-x86_64/usr/lib/libaoss.so.0.0.0,,No source files,26946
libalsatoss.so.0.0.0,alsa-oss-1.1.8-5-x86_64,/binary-datasets/archsrc/pkg/00001/alsa-oss-1.1.8-5-x86_64/usr/lib/libalsatoss.so.0.0.0,,No source files,94651
amavisd-milter,amavisd-milter-1.7.2-1-x86_64,/binary-datasets/archsrc/pkg/00001/amavisd-milter-1.7.2-1-x86_64/usr/bin/amavisd-milter,27,27,75073
ambdec,ambdec-0.7.1-2-x86_64,/binary-datasets/archsrc/pkg/00001/ambdec-0.7.1-2-x86_64/usr/bin/ambdec,,No source files,87873
ambdec_cli,ambdec-0.7.1-2-x86_64,/binary-datasets/archsrc/pkg/00001/ambdec-0.7.1-2-x86_64/usr/bin/ambdec_cli,,No source files,48590
